# scene_id	dungeon_id	play_type	difficulty	name
6026	6026	8		Unstable - Wraith Shrine
6027	6027	9	Normal	Wraith Shrine
6028	6028	9	Hard	Wraith Shrine
6029	6029	17	Master 1	Wraith Shrine
6031	6031	2		Dawn Forest
6032	6032	2		Dawn Forest
6033	6033	2		Dawn Forest
6034	6034	2		Dawn Forest
6035	6035	8		Unstable - Dawn Forest
6036	6036	8		Unstable - Dawn Forest
6037	6037	9	Normal	Dawn Forest
6038	6038	9	Hard	Dawn Forest
6039	6039	17	Master 1	Dawn Forest
6041	6041	2		Soundless City
6042	6042	2		Soundless City
6043	6043	2		Soundless City
6044	6044	2		Soundless City
6045	6045	17	Master 1	Soundless City
6046	6046	8		Unstable - Soundless City
6047	6047	9	Normal	Soundless City
6048	6048	9	Hard	Soundless City
6049	6049	17	Master 1	Soundless City
6051	6051	2		Thunder Ruins
6052	6052	2		Thunder Ruins
6053	6053	2		Thunder Ruins
6054	6054	2		Thunder Ruins
6055	6055	8		Unstable - Thunder Ruins
6056	6056	8		Unstable - Thunder Ruins
6057	6057	9	Normal	Thunder Ruins
6058	6058	9	Hard	Thunder Ruins
6059	6059	17	Master 1	Thunder Ruins
6101	6101	2		Wraith Shrine
6102	6102	2		Wraith Shrine
6113	6113	9	Normal	Wraith Shrine
6114	6114	9	Hard	Wraith Shrine
6115	6115	17	Master 1	Wraith Shrine
7001	7001	5		Parkour
7002	7002	5		Parkour
7003	7003	5		Wasteland Race
7004	7004	5		City Rally
7050	7050	6		Goblin Rampage
7051	7051	6		Goblin Rampage
7052	7052	6		Goblin Rampage
7053	7053	6		Goblin Rampage
7054	7054	6		Goblin Rampage
7055	7055	6		Defeat the Goblin Mage
7056	7056	6		Defeat the Goblin Mage
7057	7057	6		Defeat the Goblin Mage
7058	7058	6		Defeat the Goblin Mage
7060	7060	6		Canyon Battle
7061	7061	6		Canyon Battle
7065	7065	6		Urgent Delivery
7066	7066	6		Urgent Delivery
7067	7067	6		Urgent Delivery
7068	7068	6		Urgent Delivery
7070	7070	6		Defend the Supplies
7071	7071	6		Defend the Supplies
7072	7072	6		Defend the Supplies
7073	7073	6		Defend the Supplies
7074	7074	6		Defend the Supplies
7075	7075	6		Defend the Supplies
7076	7076	6		Defend the Supplies
7077	7077	6		Defend the Supplies
7078	7078	6		Defend the Supplies
7080	7080	6		Crystal Defense
7081	7081	6		Crystal Defense
7082	7082	6		Crystal Defense
7083	7083	6		Crystal Defense
7084	7084	6		Crystal Defense
7085	7085	6		Crystal Defense
7086	7086	6		Crystal Defense
7087	7087	6		Crystal Defense
7088	7088	6		Crystal Defense
7100	7100	6		Goblin Rampage
7101	7101	6		Goblin Rampage
7102	7102	6		Goblin Rampage
7103	7103	6		Goblin Rampage
7150	7150	15		World Dominator
7151	7151	15		World Dominator
7151	7152	15		World Dominator
8001	8001	1		Wasteland
8002	8002	1		Wasteland
8003	8003	1		Wasteland
8011	8011	1		Wasteland
8012	8012	1		Wasteland
8021	8021	1		Wasteland
8022	8022	1		Wasteland
8031	8031	1		Wasteland
8032	8032	1		Wasteland
8041	8041	1		Wasteland
8042	8042	1		Wasteland
8051	8051	1		Wasteland
8052	8052	1		Wasteland
8053	8053	1		Wasteland: Tainted
8053	8054	1		Wasteland: Corrupted
8101	8101	1		Thunder Wasteland
8102	8102	1		Thunder Wasteland
8111	8111	1		Thunder Wasteland
8112	8112	1		Thunder Wasteland
8121	8121	1		Thunder Wasteland
8122	8122	1		Thunder Wasteland
8131	8131	1		Thunder Wasteland
8132	8132	1		Thunder Wasteland
8141	8141	1		Thunder Wasteland
8142	8142	1		Thunder Wasteland
8151	8151	1		Thunder Wasteland
8152	8152	1		Thunder Wasteland
9001	9001	1		Sea of Flowers
9002	9002	1		Sea of Flowers
9101	9101	1		Blue Sea
9102	9102	1		Blue Sea
9202	9202	19		Slumberdream Valley (Easy)
9203	9203	19		Slumberdream Valley (Hard)
9204	9204	19		Slumberdream Valley (Nightmare)
9205	9205	19		Illusion-Shroud Woods (Easy)
9206	9206	19		Illusion-Shroud Woods (Hard)
9207	9207	19		Illusion-Shroud Woods (Nightmare)
10001	10001	1		Empty Copy 1
10002	10002	1		Empty Copy 2
10003	10003	1		Empty Copy 1
10003	10030	1		Zone Test
10004	10004	1		Empty Copy 2
10004	10005	1		Test Logic Special Copy
11001	11001	20		Wondrous Tag
12000	12000	12		Guild Hall
12011	12011	13		Guild Hunt - Hard
12012	12012	13		Guild Hunt - Normal
12013	12013	13		Guild Hunt - Easy
12014	12014	13		Guild Hunt - Normal
12015	12015	13		Guild Hunt - Hard
12016	12016	13		Guild Hunt - Normal
12017	12017	13		Guild Hunt - Hard
12018	12018	13		Guild Hunt - Normal
12019	12019	13		Guild Hunt - Hard
12022	12022	13		Guild Hunt - Normal
12023	12023	13		Guild Hunt - Hard
12050	12050	15		Giant Golem Crusade
12051	12051	15		Giant Golem Crusade
12051	12052	15		Giant Golem Crusade
13001	13001	18		Backtrack! Floating Island - Dragon Shackles
13002	13002	18		Brutal! Floating Island
13003	13003	18		Purge! Floating Island
13011	13011	18		Backtrack! Dreambloom Ruins
13012	13012	18		Brutal! Dreambloom Ruins
13013	13013	18		Purge! Dreambloom Ruins
13021	13021	18		Clash! Field of Forgotten Illusions
13022	13022	18		Brutal! Field of Forgotten Illusions
13023	13023	18		Purge! Field of Forgotten Illusions
15001	15001	3		Memory 1 - Normal
15002	15002	3		Memory 13 - Advanced
15003	15003	3		Memory 9 - Normal
15004	15004	3		Memory 7 - Normal
15005	15005	3		Memory 31 - Normal
15006	15006	3		Memory 32 - Normal
15007	15007	3		Memory 18 - Normal
15008	15008	3		Memory 22 - Normal
15009	15009	3		Memory 24 - Normal
15010	15010	3		Memory 48 - Normal
15011	15011	3		Memory 16 - Normal
15012	15012	3		Memory 42 - Normal
15013	15013	3		Memory 34 - Normal
15014	15014	3		Memory 45 - Normal
15015	15015	3		Memory 10 - Normal
15016	15016	3		Memory 20 - Normal
15017	15017	3		Memory 43 - Normal
15018	15018	3		Memory 17 - Normal
15019	15019	3		Memory 35 - Normal
15020	15020	3		Memory 37 - Normal
15021	15021	3		Memory 39 - Normal
15022	15022	3		Memory 5 - Normal
15023	15023	3		Memory 14 - Normal
15024	15024	3		Memory 25 - Normal
15025	15025	3		Memory 3 - Normal
15026	15026	3		Memory 21 - Normal
15027	15027	3		Memory 29 - Normal
15028	15028	3		Memory 4 - Normal
15029	15029	3		Memory 44 - Normal
15030	15030	3		Memory 2 - Normal
15031	15031	3		Memory 40 - Normal
15032	15032	3		Memory 36 - Normal
15033	15033	3		Memory 12 - Normal
15034	15034	3		Memory 24 - Advanced
15035	15035	3		Memory 38 - Normal
15036	15036	3		Memory 34 - Advanced
15037	15037	3		Memory 19 - Normal
15038	15038	3		Memory 37 - Advanced
15039	15039	3		Memory 32 - Advanced
15040	15040	3		Memory 27 - Normal
15041	15041	3		Memory 45 - Advanced
15042	15042	3		Memory 29 - Advanced
15043	15043	3		Memory 40 - Advanced
15044	15044	3		Memory 13 - Normal
15045	15045	3		Memory 3 - Advanced
15046	15046	3		Memory 26 - Normal
15047	15047	3		Memory 1 - Advanced
15048	15048	3		Memory 41 - Normal
15049	15049	3		Memory 44 - Advanced
15050	15050	3		Memory 28 - Normal
15051	15051	3		Memory 18 - Advanced
15052	15052	3		Memory 20 - Advanced
15053	15053	3		Memory 5 - Advanced
15054	15054	3		Memory 33 - Normal
15055	15055	3		Memory 36 - Advanced
15056	15056	3		Memory 10 - Advanced
15057	15057	3		Memory 31 - Advanced
15058	15058	3		Memory 8 - Normal
15059	15059	3		Memory 9 - Advanced
15060	15060	3		Memory 6 - Normal
15061	15061	3		Memory 19 - Advanced
15062	15062	3		Memory 2 - Advanced
15063	15063	3		Memory 21 - Advanced
15064	15064	3		Memory 42 - Advanced
15065	15065	3		Memory 22 - Advanced
15066	15066	3		Memory 30 - Normal
15067	15067	3		Memory 7 - Advanced
15068	15068	3		Memory 16 - Advanced
15069	15069	3		Memory 43 - Advanced
15070	15070	3		Memory 35 - Advanced
15071	15071	3		Memory 30 - Advanced
15072	15072	3		Memory 23 - Normal
15073	15073	3		Memory 27 - Advanced
15074	15074	3		Memory 6 - Advanced
15075	15075	3		Memory 8 - Advanced
15076	15076	3		Memory 26 - Advanced
15077	15077	3		Memory 39 - Advanced
15078	15078	3		Memory 17 - Advanced
15079	15079	3		Memory 25 - Advanced
15080	15080	3		Memory 12 - Advanced
15081	15081	3		Memory 33 - Advanced
15082	15082	3		Memory 28 - Advanced
15083	15083	3		Memory 4 - Advanced
15084	15084	3		Memory 11 - Normal
15085	15085	3		Memory 11 - Advanced
15086	15086	3		Memory 23 - Advanced
15087	15087	3		Memory 15 - Normal
15088	15088	3		Memory 15 - Advanced
15089	15089	3		Memory 38 - Advanced
15090	15090	3		Memory 41 - Advanced
15091	15091	3		Memory 46 - Normal
15092	15092	3		Memory 46 - Advanced
15093	15093	3		Memory 47 - Normal
15094	15094	3		Memory 47 - Advanced
15095	15095	3		Memory 48 - Advanced
15096	15096	3		Memory 49 - Normal
15097	15097	3		Memory 49 - Advanced
15098	15098	3		Memory 50 - Normal
15099	15099	3		Memory 50 - Advanced
15100	15100	3		Memory 51 - Normal
15101	15101	3		Memory 51 - Advanced
15102	15102	3		Memory 52 - Normal
15103	15103	3		Memory 52 - Advanced
15104	15104	3		Memory 53 - Normal
15105	15105	3		Memory 53 - Advanced
15106	15106	3		Memory 54 - Normal
15107	15107	3		Memory 54 - Advanced
15108	15108	3		Memory 55 - Normal
15109	15109	3		Memory 55 - Advanced
15110	15110	3		Memory 56 - Normal
15111	15111	3		Memory 56 - Advanced
15112	15112	3		Memory 57 - Normal
15113	15113	3		Memory 57 - Advanced
15114	15114	3		Memory 58 - Normal
15115	15115	3		Memory 58 - Advanced
15116	15116	3		Memory 59 - Normal
15117	15117	3		Memory 59 - Advanced
15118	15118	3		Memory 60 - Normal
15119	15119	3		Memory 60 - Advanced
15120	15120	3		Memory 61 - Normal
15121	15121	3		Memory 61 - Advanced
15122	15122	3		Memory 62 - Normal
15123	15123	3		Memory 62 - Advanced
15124	15124	3		Memory 63 - Normal
15125	15125	3		Memory 63 - Advanced
15126	15126	3		Memory 64 - Normal
15127	15127	3		Memory 64 - Advanced
15128	15128	3		Memory 65 - Normal
15129	15129	3		Memory 65 - Advanced
15130	15130	3		Memory 66 - Normal
15131	15131	3		Memory 66 - Advanced
15132	15132	3		Memory 67 - Normal
15133	15133	3		Memory 67 - Advanced
15134	15134	3		Memory 68 - Normal
15135	15135	3		Memory 68 - Advanced
15136	15136	3		Memory 69 - Normal
15137	15137	3		Memory 69 - Advanced
15138	15138	3		Memory 70 - Normal
15139	15139	3		Memory 70 - Advanced
15140	15140	3		Memory 71 - Normal
15141	15141	3		Memory 71 - Advanced
15142	15142	3		Memory 72 - Normal
15143	15143	3		Memory 72 - Advanced
15144	15144	3		Memory 73 - Normal
15145	15145	3		Memory 73 - Advanced
30001	30001	10		Homestead Courtyard
30101	30101	16		Floor 1
30102	30102	16		Floor 2
30103	30103	16		Floor 3
30104	30104	16		Floor 4
30105	30105	16		Floor 5
30106	30106	16		Floor 6
30107	30107	16		Floor 7
30108	30108	16		Floor 8
30109	30109	16		Floor 9
30110	30110	16		Floor 10
30111	30111	16		Floor 11
30112	30112	16		Floor 12
30113	30113	16		Floor 13
30114	30114	16		Floor 14
30115	30115	16		Floor 15
30116	30116	16		Floor 16
30117	30117	16		Floor 17
30118	30118	16		Floor 18
30119	30119	16		Floor 19
30120	30120	16		Floor 20
30121	30121	16		Floor 21
30122	30122	16		Floor 22
30123	30123	16		Floor 23
30124	30124	16		Floor 24
30125	30125	16		Floor 25
30126	30126	16		Floor 26
30127	30127	16		Floor 27
30128	30128	16		Floor 28
30129	30129	16		Floor 29
30130	30130	16		Floor 30
30131	30131	16		Floor 31
30132	30132	16		Floor 32
30133	30133	16		Floor 33
30134	30134	16		Floor 34
30135	30135	16		Floor 35
30136	30136	16		Floor 36
30137	30137	16		Floor 37
30138	30138	16		Floor 38
30139	30139	16		Floor 39
30140	30140	16		Floor 40
30141	30141	16		Floor 41
30142	30142	16		Floor 42
30143	30143	16		Floor 43
30144	30144	16		Floor 44
30145	30145	16		Floor 45
30146	30146	16		Floor 46
30147	30147	16		Floor 47
30148	30148	16		Floor 48
30149	30149	16		Floor 49
30150	30150	16		Floor 50
30151	30151	16		Floor 51
30152	30152	16		Floor 52
30153	30153	16		Floor 53
30154	30154	16		Floor 54
30155	30155	16		Floor 55
30156	30156	16		Floor 56
30157	30157	16		Floor 57
30158	30158	16		Floor 58
30159	30159	16		Floor 59
30160	30160	16		Floor 60
30161	30161	16		Floor 61
30162	30162	16		Floor 62
30163	30163	16		Floor 63
30164	30164	16		Floor 64
30165	30165	16		Floor 65
30166	30166	16		Floor 66
30167	30167	16		Floor 67
30168	30168	16		Floor 68
30169	30169	16		Floor 69
30170	30170	16		Floor 70
30171	30171	16		Floor 71
30172	30172	16		Floor 72
30173	30173	16		Floor 73
30174	30174	16		Floor 74
30175	30175	16		Floor 75
30176	30176	16		Floor 76
30177	30177	16		Floor 77
30178	30178	16		Floor 78
30179	30179	16		Floor 79
30180	30180	16		Floor 80
30181	30181	16		Floor 81
30182	30182	16		Floor 82
30183	30183	16		Floor 83
30184	30184	16		Floor 84
30185	30185	16		Floor 85
30186	30186	16		Floor 86
30187	30187	16		Floor 87
30188	30188	16		Floor 88
30189	30189	16		Floor 89
30190	30190	16		Floor 90
30191	30191	16		Floor 91
30192	30192	16		Floor 92
30193	30193	16		Floor 93
30194	30194	16		Floor 94
30195	30195	16		Floor 95
30196	30196	16		Floor 96
30197	30197	16		Floor 97
30198	30198	16		Floor 98
30199	30199	16		Floor 99
30200	30200	16		Floor 100
30201	30201	16		Floor 101
30202	30202	16		Floor 102
30203	30203	16		Floor 103
30204	30204	16		Floor 104
30205	30205	16		Floor 105
30206	30206	16		Floor 106
30207	30207	16		Floor 107
30208	30208	16		Floor 108
30209	30209	16		Floor 109
30210	30210	16		Floor 110
30211	30211	16		Floor 111
30212	30212	16		Floor 112
30213	30213	16		Floor 113
30214	30214	16		Floor 114
30215	30215	16		Floor 115
30216	30216	16		Floor 116
30217	30217	16		Floor 117
30218	30218	16		Floor 118
30219	30219	16		Floor 119
30220	30220	16		Floor 120
30221	30221	16		Floor 121
30222	30222	16		Floor 122
30223	30223	16		Floor 123
30224	30224	16		Floor 124
30225	30225	16		Floor 125
30226	30226	16		Floor 126
30227	30227	16		Floor 127
30228	30228	16		Floor 128
30229	30229	16		Floor 129
30230	30230	16		Floor 130
30231	30231	16		Floor 131
30232	30232	16		Floor 132
30233	30233	16		Floor 133
30234	30234	16		Floor 134
30235	30235	16		Floor 135
30236	30236	16		Floor 136
30237	30237	16		Floor 137
30238	30238	16		Floor 138
30239	30239	16		Floor 139
30240	30240	16		Floor 140
30241	30241	16		Floor 141
30242	30242	16		Floor 142
30243	30243	16		Floor 143
30244	30244	16		Floor 144
30245	30245	16		Floor 145
30246	30246	16		Floor 146
30247	30247	16		Floor 147
30248	30248	16		Floor 148
30249	30249	16		Floor 149
30250	30250	16		Floor 150
30251	30251	16		Floor 151
30252	30252	16		Floor 152
30253	30253	16		Floor 153
30254	30254	16		Floor 154
30255	30255	16		Floor 155
30256	30256	16		Floor 156
30257	30257	16		Floor 157
30258	30258	16		Floor 158
30259	30259	16		Floor 159
30260	30260	16		Floor 160
30261	30261	16		Floor 161
30262	30262	16		Floor 162
30263	30263	16		Floor 163
30264	30264	16		Floor 164
30265	30265	16		Floor 165
30266	30266	16		Floor 166
30267	30267	16		Floor 167
30268	30268	16		Floor 168
30269	30269	16		Floor 169
30270	30270	16		Floor 170
30271	30271	16		Floor 171
30272	30272	16		Floor 172
30273	30273	16		Floor 173
30274	30274	16		Floor 174
30275	30275	16		Floor 175
30276	30276	16		Floor 176
30277	30277	16		Floor 177
30278	30278	16		Floor 178
30279	30279	16		Floor 179
30280	30280	16		Floor 180
30281	30281	16		Floor 181
30282	30282	16		Floor 182
30283	30283	16		Floor 183
30284	30284	16		Floor 184
30285	30285	16		Floor 185
30286	30286	16		Floor 186
30287	30287	16		Floor 187
30288	30288	16		Floor 188
30289	30289	16		Floor 189
30290	30290	16		Floor 190
30291	30291	16		Floor 191
30292	30292	16		Floor 192
30293	30293	16		Floor 193
30294	30294	16		Floor 194
30295	30295	16		Floor 195
30296	30296	16		Floor 196
30297	30297	16		Floor 197
30298	30298	16		Floor 198
30299	30299	16		Floor 199
30300	30300	16		Floor 200
40001	40001	11		Homestead House
