# BPSR Season 4 CN supplemental fallback IDs.
# Curated from CN meter/game-data sources; loaded only when the base v1.30 catalog has no mapping.
# Source details and translation notes: docs/season4-cn-id-sources.md
M	34002	Anti-Fantasy: Boyce
M	34003	Anti-Fantasy: Boyce
M	34004	Anti-Fantasy: Boyce
M	34005	Boyce DD Arena-Edge Large AoE
M	34007	Boyce DD Mirror
M	34008	Boyce Standard Mirror
M	34009	Anti-Fantasy: Boyce
M	34010	Triple Knockback 1
M	34011	Triple Knockback 2
M	34012	Triple Knockback 3
M	34013	Anti-Fantasy: Boyce
M	34014	Groundfire Marker
M	34015	Ice Spike
M	34016	Anti-Fantasy: Boyce
M	34017	Memory Form: Guilt
M	34018	Memory Form: Culpability
M	34019	Memory Form: Qualification
M	34020	Manifestation: Forest Whisperer
M	34021	Manifestation: Berserker
M	34022	Manifestation: Azurewind Knight
M	34023	Manifestation: Marksman
M	34024	Manifestation: Guardian
M	34025	Manifestation: Magus
M	34026	Manifestation: Priest
M	34027	Manifestation: Priest
M	34028	Manifestation: Priest
M	34029	Manifestation: Mercenary
M	34030	Boyce DD Master Repeat Mirror
M	34031	Anti-Fantasy: Boyce
M	34032	Manifestation: Priest
M	34033	Manifestation: Priest
M	34034	Manifestation: Priest
M	34035	Boyce Nine-Ring Center Large AoE
M	34036	Vertical Direction Marker
M	73030	Wasteland Arachnocrab
M	73056	Wasteland Foxen
M	73059	Elite: Paralyzing Shrimp Shroom
M	73060	Elite: Valley Gladiator
M	73061	Elite: Goblin Sage
M	73062	Elite: Valley Ranger
M	73063	Elite: Darkriver Fin
M	73064	Shrimp Mushroom
M	73065	Venomous Shrimp Shroom
M	73066	Valley Brave
M	73067	Valley Vanguard
M	73068	Azurefoam Goblin
M	73069	Violetfoam Goblin
M	73070	Valley Scout
M	73071	Valley Crossbowman
M	73072	Deep Valley Merman
M	73073	Creekside Merman
M	103400	Lapsis - Phase 1
M	103500	Lapsis - Phase 2
M	103501	Light Shaping
M	103502	Light Shaping
M	103503	Light Shaping
M	103504	Light Shaping
M	103600	Lapsis - Phase 3
M	470131	Pair-Matching Orb
M	512031	Foxen
M	512032	Wasteland Foxen
M	512033	Airona
M	660304	Airona
M	660305	Slate
M	660306	Triban
M	660307	Fafala
M	660308	Vilda
M	660309	Azurefoam Goblin
M	660310	Thunderfoam Goblin
M	660311	Goblin Sage
M	660312	Illusory Bloom
M	884606	Void Mark - Black
M	884607	Void Mark - White
M	884640	Vilda Energy Orb
M	884642	Star Pool
M	884668	Vilda Energy Orb - Master Color
M	884669	Vilda Energy Orb 2
M	884670	Vilda Energy Orb 3
M	884671	Vilda Energy Orb 4
M	3000088	Valley Shock Trooper
M	3000094	Valley Ranger
M	3000095	Valley Gladiator
M	5100302	Boyce
M	6611001	Echo
M	6611002	Unheard Prayer
M	6611003	Phantom
M	6611004	Phantom
M	6611005	Phantom
M	6611006	Calling
M	6611007	Unheard Belief
M	6611008	Unheard Belief
M	6611009	Unheard Courage
M	6611010	Trial
M	6611011	Unheard Justice
M	6611014	Unheard Obsession
M	6611015	Trial
M	6611017	Vilda
M	6611018	Dreambound Goblin
M	6611020	Immature Illusory Bloom
M	6611021	Illusory Bloom
M	6611022	Vilda
M	6611023	Trial
M	6611024	Trial: Elite
M	6611025	Dreambound Deep Valley Merman
M	6611026	Dreambound Creekside Merman
M	6611027	Dreambound Darkriver Fin
M	6611028	Echo
M	6611029	Echo
M	6611030	Echo: Elite
M	6611031	Unheard Prayer
M	6611032	Unheard Obsession
M	6611034	Immature Illusory Bloom
M	6611035	Dreambound Goblin Sage
M	6611036	Unheard Belief
M	6611037	Unheard Justice
M	6611038	Unheard Courage
M	6611039	Immature Illusory Bloom
M	6620001	Valley Crossbowman
M	6621001	Valley Crossbowman
